iter	RMSE	Quantile:alpha=0.4
0	4954.987707	1342.46614
1	4702.322475	1262.123251
2	4517.353647	1199.542839
3	4332.962992	1142.181598
4	4178.314701	1091.241483
5	4044.451471	1047.517707
6	3902.509423	1004.379674
7	3765.725091	965.1243094
8	3641.647932	929.3073246
9	3530.770289	897.8409971
10	3417.235308	866.498998
11	3306.768448	838.1929502
12	3215.28632	815.2017162
13	3135.234166	795.0258307
14	3045.258836	772.8001048
15	2976.673043	755.0747849
16	2912.232691	738.713865
17	2867.67488	727.6223144
18	2798.835237	712.0537226
19	2730.424218	697.2555606
20	2683.205922	686.146746
21	2645.620663	676.9393216
22	2593.353205	666.3049272
23	2553.956921	657.699968
24	2516.436518	650.253509
25	2482.377843	643.4167722
26	2449.197467	637.1167726
27	2431.599387	633.4452829
28	2405.636096	627.5452704
29	2380.796314	622.725275
30	2362.525403	618.8401473
31	2342.114514	615.1720542
32	2319.662523	611.2749876
33	2308.394535	609.0954073
34	2293.919505	606.0100327
35	2277.895912	602.5653667
36	2259.324473	599.4423691
37	2250.518695	597.4640262
38	2241.353154	594.9914107
39	2224.965558	591.8759262
40	2211.333916	589.0148741
41	2201.454537	586.5683967
42	2191.371882	584.6256252
43	2179.513885	583.0190685
44	2175.155347	581.7664116
45	2169.306994	579.9998805
46	2160.548868	578.5437535
47	2152.721581	576.6420446
48	2146.687342	574.9783294
49	2137.031024	573.2958542
50	2129.321852	572.2173015
51	2122.140508	570.8940852
52	2118.209946	570.1046495
53	2111.913402	568.9204901
54	2106.083998	567.9726061
55	2099.418309	566.3380887
56	2094.852628	565.3498949
57	2091.181137	564.5216092
58	2087.575631	563.4791882
59	2081.999055	562.4259259
60	2079.014594	561.7420258
61	2075.580441	560.7808648
62	2073.772616	560.3715229
63	2068.653769	559.409633
64	2063.245827	558.4819188
65	2059.931324	557.8318967
66	2055.255241	556.9554891
67	2050.656896	555.7703076
68	2046.3524	554.7706465
69	2044.701028	554.1671625
70	2040.254741	553.4886598
71	2036.440904	552.2338898
72	2033.348288	551.5004416
73	2031.173267	550.7802562
74	2029.976352	550.2764146
75	2028.608772	549.8933356
76	2026.877312	549.1056017
77	2024.534978	548.6057016
78	2023.526347	548.1064603
79	2020.719575	547.7358784
80	2020.531486	547.3851265
81	2018.321263	546.8680474
82	2015.184428	546.289355
83	2013.800246	545.7763491
84	2012.518796	545.3726382
85	2009.174905	544.9434304
86	2007.848578	544.6758279
87	2005.473037	544.1160801
88	2004.123776	543.7385619
89	2002.002125	543.3563705
90	2000.723387	542.9959091
91	1999.766027	542.8030835
92	1998.535811	542.6211658
93	1996.930977	541.9979297
94	1994.622337	541.5677281
95	1992.225371	541.1878427
96	1991.094549	540.962192
97	1987.99588	540.3564069
98	1985.448764	539.8268059
99	1983.755912	539.4763169
100	1982.587547	539.01729
101	1981.844765	538.6942671
102	1980.122643	538.43286
103	1979.257447	538.2061827
104	1977.749947	537.688809
105	1976.414785	537.2597023
106	1975.449077	536.6769481
107	1974.983536	536.4724155
108	1972.318767	535.7526831
109	1969.778803	535.2590463
110	1968.387987	534.860165
111	1967.426881	534.5256312
112	1966.725477	534.269494
113	1965.487932	533.7692554
114	1964.876408	533.4136295
115	1964.340545	533.0513011
