iter	Passed	Remaining
0	239	119546
1	341	84962
2	416	68942
3	526	65346
4	632	62661
5	729	60060
6	833	58712
7	955	58771
8	1061	57883
9	1174	57533
10	1272	56580
11	1370	55735
12	1461	54752
13	1561	54214
14	1682	54404
15	1831	55415
16	1954	55517
17	2076	55604
18	2191	55473
19	2299	55182
20	2399	54725
21	2489	54098
22	2594	53805
23	2699	53548
24	2800	53204
25	2894	52769
26	2991	52409
27	3095	52174
28	3210	52150
29	3313	51914
30	3396	51384
31	3517	51438
32	3613	51139
33	3726	51074
34	3821	50769
35	3931	50678
36	4032	50465
37	4142	50366
38	4248	50223
39	4352	50058
40	4462	49954
41	4567	49803
42	4685	49798
43	4790	49650
44	4888	49432
45	5007	49421
46	5119	49340
47	5237	49322
48	5348	49232
49	5477	49293
50	5585	49173
51	5692	49042
52	5796	48887
53	5899	48721
54	6016	48675
55	6118	48511
56	6224	48376
57	6319	48160
58	6420	47992
59	6531	47898
60	6629	47708
61	6737	47595
62	6843	47470
63	6958	47405
64	7063	47273
65	7172	47161
66	7286	47090
67	7392	46965
68	7498	46839
69	7605	46722
70	7719	46642
71	7818	46479
72	7925	46360
73	8038	46274
74	8142	46141
75	8259	46077
76	8376	46016
77	8487	45917
78	8588	45766
79	8697	45661
80	8802	45532
81	8914	45441
82	9078	45613
83	9175	45439
84	9278	45301
85	9378	45149
86	9475	44981
87	9591	44907
88	9706	44826
89	9845	44852
90	9970	44812
91	10072	44667
92	10174	44526
93	10278	44393
94	10383	44264
95	10479	44099
96	10575	43937
97	10679	43807
98	10778	43659
99	10877	43509
100	10969	43334
101	11086	43260
102	11204	43186
103	11297	43018
104	11409	42920
105	11501	42751
106	11604	42621
107	11700	42470
108	11805	42347
109	11903	42204
110	11996	42042
111	12098	41912
112	12206	41806
113	12311	41687
114	12407	41537
115	12518	41440
116	12629	41342
117	12729	41209
118	12823	41055
119	12933	40955
120	13032	40820
121	13138	40708
122	13244	40596
123	13346	40471
124	13448	40346
125	13543	40201
126	13654	40104
127	13763	39999
128	13857	39852
129	13969	39759
130	14073	39641
131	14189	39559
132	14298	39456
133	14390	39305
134	14483	39158
135	14582	39029
136	14688	38919
